 female married nevermar wkswork wsal age hsdeg somecol colldeg msdoc hrswkd nonwht hispanic stateid
 0 1 0 52 18000 49 1 0 0 0 40 0 0 31
 0 0 1 52 25608 28 0 1 0 0 40 0 0 31
 1 0 1 52 21000 34 0 1 0 0 40 0 0 31
 0 1 0 52 128500 46 0 0 1 0 40 0 0 31
 0 0 1 52 32000 28 0 0 1 0 40 0 0 31
 0 1 0 52 40000 45 0 1 0 0 40 0 0 31
 0 0 1 52 6000 49 0 1 0 0 50 0 0 31
 1 0 0 52 23000 44 1 0 0 0 50 0 0 31
 0 0 1 52 53000 51 0 1 0 0 50 0 0 31
 0 0 0 52 39000 48 1 0 0 0 40 0 0 31
 1 0 0 52 21000 56 1 0 0 0 40 0 0 31
 0 1 0 52 32000 61 0 0 1 0 48 0 0 31
 1 0 0 52 38000 31 0 0 1 0 40 0 0 31
 1 0 1 52 9500 30 0 1 0 0 40 0 0 31
 0 1 0 52 46000 55 1 0 0 0 50 0 1 31
 1 1 0 52 30000 49 1 0 0 0 40 0 0 31
 0 0 0 52 32000 30 0 0 0 0 40 0 1 31
 0 1 0 52 128500 46 0 0 1 0 50 0 0 31
 1 1 0 52 20000 42 0 1 0 0 40 1 0 31
 0 1 0 52 33000 52 1 0 0 0 40 0 0 31
 0 1 0 52 2000 61 0 1 0 0 35 0 0 31
 0 0 0 52 137000 53 0 1 0 0 40 0 0 31
 1 0 0 52 20000 28 0 1 0 0 40 0 0 31
 1 1 0 52 98000 55 0 0 0 1 40 0 0 31
 0 1 0 52 45000 29 0 0 0 1 50 0 0 31
 1 1 0 52 32000 29 0 0 1 0 40 0 0 31
 0 1 0 52 24000 46 0 0 1 0 60 0 0 31
 1 1 0 52 42000 42 0 0 1 0 40 0 0 31
 0 1 0 52 25535 59 0 1 0 0 45 0 0 31
 0 1 0 52 50000 52 0 1 0 0 40 0 0 31
 0 1 0 52 35000 40 0 1 0 0 42 0 0 31
 1 1 0 52 25000 39 1 0 0 0 40 0 0 31
 0 1 0 52 40000 58 0 1 0 0 40 0 0 31
 1 1 0 52 35000 47 0 1 0 0 38 0 0 31
 1 1 0 51 24400 46 0 0 1 0 50 0 0 31
 0 1 0 51 42500 48 0 1 0 0 65 0 0 31
 0 1 0 49 40104 59 0 1 0 0 43 0 0 31
 1 0 1 52 15000 26 0 0 0 0 36 0 0 31
 0 1 0 52 38000 33 0 1 0 0 45 0 0 31
 1 0 0 52 68000 55 0 0 1 0 40 0 0 31
 1 1 0 52 35000 38 0 0 1 0 40 0 0 31
 0 1 0 52 50000 38 0 0 0 0 40 0 0 31
 0 1 0 52 5000 53 1 0 0 0 60 0 0 31
 0 1 0 52 42001 48 0 0 0 0 38 1 0 31
 1 0 0 52 18000 30 0 1 0 0 60 0 0 31
 1 0 1 52 20000 34 1 0 0 0 40 0 0 31
 0 0 0 52 45000 59 0 1 0 0 48 0 0 31
 0 0 1 52 38670 41 0 0 1 0 50 0 0 31
 0 1 0 52 55000 30 0 0 1 0 42 0 0 31
 1 1 0 52 52000 27 0 1 0 0 50 0 0 31
 0 1 0 52 50000 44 0 1 0 0 60 0 0 31
 0 1 0 52 53000 53 0 0 1 0 50 0 0 31
 1 1 0 52 48000 54 0 0 0 1 55 0 0 31
 1 1 0 52 30000 30 0 0 1 0 50 0 0 31
 0 1 0 52 40000 42 0 1 0 0 65 0 0 31
 1 1 0 52 21200 48 0 0 1 0 40 0 0 31
 1 0 1 52 42000 25 1 0 0 0 40 1 0 31
 0 0 1 52 52000 29 0 1 0 0 40 1 0 31
 1 1 0 52 31000 26 0 0 1 0 50 0 0 31
 0 0 1 52 16000 28 1 0 0 0 40 1 0 31
 1 1 0 52 18200 56 1 0 0 0 35 0 0 31
 0 1 0 52 20000 56 1 0 0 0 80 0 0 31
 1 1 0 52 20000 59 0 1 0 0 50 0 0 31
 1 1 0 52 40000 39 1 0 0 0 80 0 0 31
 0 1 0 52 45000 30 0 0 1 0 70 0 0 31
 0 1 0 52 32000 33 0 1 0 0 50 0 0 31
 0 0 0 52 28000 44 1 0 0 0 45 0 0 31
 0 0 0 52 14000 44 1 0 0 0 60 0 0 31
 1 1 0 52 22880 45 1 0 0 0 40 0 0 31
 0 1 0 52 55000 46 1 0 0 0 45 0 0 31
 0 1 0 52 40000 53 1 0 0 0 80 0 0 31
 0 1 0 52 42000 48 0 1 0 0 60 0 0 31
 0 1 0 52 130000 39 0 1 0 0 60 0 0 31
 0 0 0 52 15000 42 0 1 0 0 45 1 0 31
 0 0 1 52 40000 35 0 0 1 0 45 1 0 31
 1 0 1 52 20000 29 0 1 0 0 40 1 0 31
 0 1 0 52 38480 35 1 0 0 0 40 1 0 31
 0 1 0 52 56000 44 0 1 0 0 40 0 0 31
 1 1 0 52 1000 36 1 0 0 0 58 0 0 31
 0 1 0 52 57000 38 0 0 1 0 45 0 0 31
 0 1 0 52 67000 30 0 0 1 0 65 0 0 31
 1 1 0 52 29000 31 0 1 0 0 40 0 0 31
 0 1 0 52 40000 61 1 0 0 0 45 0 0 31
 1 1 0 52 17000 55 1 0 0 0 42 0 0 31
 1 0 0 52 200 57 1 0 0 0 53 0 0 31
 1 1 0 52 50000 53 1 0 0 0 45 0 0 31
 0 1 0 52 60000 50 1 0 0 0 65 0 0 31
 1 0 0 52 26000 45 1 0 0 0 40 0 0 31
 0 0 1 52 24000 52 1 0 0 0 45 0 0 31
 0 1 0 52 28000 29 0 0 1 0 45 0 0 31
 1 1 0 52 30000 28 0 0 1 0 45 0 0 31
 1 1 0 52 14000 32 0 1 0 0 35 0 0 31
 0 1 0 52 45000 33 1 0 0 0 55 0 0 31
 0 0 1 52 50000 28 0 1 0 0 40 0 0 31
 0 1 0 52 150000 57 0 0 0 1 45 0 0 31
 1 1 0 52 27500 29 0 1 0 0 40 0 0 31
 0 1 0 52 138000 28 0 0 1 0 40 0 0 31
 1 0 0 52 18500 58 1 0 0 0 35 0 0 31
 1 1 0 52 50000 60 1 0 0 0 40 0 0 31
 0 0 1 52 34000 24 1 0 0 0 40 0 0 31
 1 0 0 52 22500 58 1 0 0 0 40 0 0 31
 0 1 0 52 60000 60 0 0 0 1 40 0 0 31
 1 1 0 52 37000 59 0 0 1 0 40 0 0 31
 1 1 0 52 27000 52 1 0 0 0 40 0 0 31
 0 1 0 52 21000 53 0 0 0 0 40 0 0 31
 1 1 0 52 36000 38 1 0 0 0 40 0 0 31
 0 1 0 52 48000 41 0 1 0 0 40 0 0 31
 1 1 0 52 49000 53 0 1 0 0 40 0 0 31
 0 1 0 52 30000 31 1 0 0 0 40 0 0 31
 1 0 0 52 18000 51 0 1 0 0 35 0 0 31
 0 1 0 52 30000 53 1 0 0 0 40 0 0 31
 0 0 0 52 16000 24 1 0 0 0 40 0 0 31
 0 1 0 52 140000 50 0 1 0 0 50 0 0 31
 0 1 0 52 55000 35 0 1 0 0 40 0 0 31
 1 1 0 52 27000 36 0 0 1 0 40 0 0 31
 1 1 0 52 65000 52 0 0 1 0 40 0 0 31
 0 1 0 52 60000 51 0 0 1 0 45 0 0 31
 1 1 0 52 38119 49 0 1 0 0 40 0 0 31
 0 1 0 52 90000 50 0 1 0 0 50 0 0 31
 0 1 0 52 85000 57 0 1 0 0 40 0 0 31
 0 1 0 52 33000 52 1 0 0 0 40 0 0 31
 1 1 0 52 70000 51 0 0 1 0 40 0 0 31
 1 1 0 52 30000 44 0 0 1 0 40 0 0 31
 0 1 0 52 50000 44 0 0 1 0 40 0 0 31
 1 1 0 52 34000 52 1 0 0 0 55 0 0 31
 0 1 0 52 11000 46 1 0 0 0 60 0 0 31
 0 0 1 52 31000 36 0 0 1 0 40 0 0 31
 0 0 1 52 28931 37 1 0 0 0 40 0 0 31
 1 1 0 52 30000 53 0 0 1 0 40 0 0 31
 0 1 0 52 100000 59 0 0 1 0 40 0 0 31
 0 0 1 52 51000 60 0 1 0 0 40 0 0 31
 0 1 0 52 80000 35 0 0 0 1 40 0 0 31
 1 0 0 52 68000 54 0 0 1 0 40 0 0 31
 1 0 1 52 61000 24 0 0 1 0 38 1 0 31
 1 1 0 52 36000 37 0 0 0 1 40 0 0 31
 0 1 0 52 120000 36 0 0 0 1 40 0 0 31
 1 1 0 52 96000 56 0 0 0 1 40 0 0 31
 0 1 0 52 43000 55 0 1 0 0 40 0 0 31
 1 1 0 52 12000 58 0 1 0 0 40 0 0 31
 0 1 0 52 20000 58 1 0 0 0 50 0 0 31
 0 1 0 52 29000 25 0 0 0 0 39 0 1 31
 1 0 0 52 28000 61 0 0 0 0 39 0 1 31
 0 1 0 52 45900 40 0 0 0 0 40 1 1 31
 0 1 0 52 60000 52 0 1 0 0 40 0 0 31
 0 1 0 52 33000 58 0 0 1 0 40 0 0 31
 1 1 0 52 30000 55 0 1 0 0 50 0 0 31
 1 0 1 52 20000 25 0 1 0 0 40 0 0 31
 1 0 1 52 27000 43 0 1 0 0 35 0 0 31
 0 1 0 52 35000 54 1 0 0 0 35 0 0 31
 0 1 0 52 34300 32 1 0 0 0 45 0 0 31
 0 1 0 52 57000 33 0 1 0 0 36 0 0 31
 0 1 0 52 8000 45 0 1 0 0 40 1 1 31
 1 0 1 52 8000 24 0 1 0 0 40 0 0 31
 0 0 0 52 41000 44 0 1 0 0 60 0 1 31
 1 0 1 52 9000 27 0 0 0 0 40 0 1 31
 0 0 0 52 40000 44 1 0 0 0 40 0 1 31
 1 0 0 52 32000 51 1 0 0 0 40 0 1 31
 1 1 0 52 25000 37 0 0 0 1 40 0 0 31
 0 0 0 52 36000 53 1 0 0 0 52 0 1 31
 1 0 0 52 16000 42 0 0 0 0 40 0 1 31
 0 1 0 52 60000 40 0 0 1 0 45 0 0 31
 1 1 0 52 25480 56 0 0 0 1 70 0 0 31
 0 1 0 52 50560 53 1 0 0 0 40 0 0 31
 1 1 0 52 21000 30 0 0 0 0 40 0 1 31
 1 0 0 52 120000 39 0 1 0 0 40 0 0 31
 0 0 1 52 38000 29 0 1 0 0 45 0 0 31
 1 1 0 52 30000 27 1 0 0 0 40 0 0 31
 0 1 0 52 55000 29 1 0 0 0 50 0 0 31
 0 0 0 52 26000 60 0 0 0 0 40 0 1 31
 1 1 0 52 32000 41 0 0 0 0 40 0 1 31
 0 1 0 52 32000 44 0 0 0 0 40 0 1 31
 1 0 1 52 16000 25 1 0 0 0 40 0 1 31
 1 0 0 52 32000 61 1 0 0 0 40 0 0 31
 0 1 0 52 85000 60 0 1 0 0 40 0 0 31
 1 1 0 52 65000 60 0 1 0 0 40 0 0 31
 1 0 1 52 130000 30 0 0 0 1 40 0 0 31
 1 1 0 52 29000 51 0 0 0 0 40 0 1 31
 0 1 0 52 21000 46 0 0 0 0 40 0 1 31
 0 0 1 52 18000 31 0 0 0 0 35 0 0 31
 0 1 0 52 55000 52 0 1 0 0 36 0 0 31
 1 1 0 52 32760 32 0 1 0 0 40 0 0 31
 0 1 0 52 44000 58 1 0 0 0 40 0 0 31
 1 0 1 52 21000 27 0 1 0 0 40 0 1 31
 0 0 1 52 30000 27 0 1 0 0 80 0 1 31
 1 1 0 52 21000 31 0 0 0 0 40 0 1 31
 0 1 0 52 30000 40 1 0 0 0 56 0 1 31
 1 1 0 52 26000 37 1 0 0 0 40 0 1 31
 0 1 0 52 26000 38 1 0 0 0 40 0 1 31
 0 1 0 52 79000 42 0 1 0 0 45 0 0 31
 1 1 0 52 44000 44 1 0 0 0 40 0 1 31
 0 0 1 49 35000 47 1 0 0 0 41 0 1 31
 0 1 0 52 28000 37 1 0 0 0 40 0 1 31
 0 1 0 52 36000 27 0 0 0 0 36 0 1 31
 0 1 0 52 75000 36 1 0 0 0 40 0 0 31
 1 1 0 52 35000 35 0 1 0 0 40 0 0 31
 0 1 0 52 100000 34 0 1 0 0 50 0 0 31
 1 1 0 52 23280 49 0 1 0 0 40 0 0 31
 0 1 0 52 35000 45 1 0 0 0 45 0 0 31
 1 1 0 52 45000 47 1 0 0 0 40 0 1 31
 0 1 0 52 30000 48 0 0 0 0 40 0 1 31
 1 1 0 52 72000 61 0 0 1 0 40 0 0 31
 0 1 0 52 57800 54 0 1 0 0 48 0 0 31
 1 1 0 52 38000 54 0 1 0 0 40 0 0 31
 1 1 0 52 300000 40 0 0 1 0 40 0 0 31
 0 1 0 52 100002 42 0 0 0 1 40 0 0 31
 0 1 0 52 170002 44 0 0 1 0 45 0 0 31
 1 0 0 52 86000 53 0 0 1 0 80 0 0 31
 0 1 0 52 100000 51 0 0 1 0 45 0 0 31
 1 1 0 52 250000 40 0 0 0 1 60 0 0 31
 1 0 1 52 35000 27 0 1 0 0 40 0 0 31
 0 0 0 52 61000 55 1 0 0 0 45 0 0 31
 0 0 1 52 45000 25 0 1 0 0 40 0 1 31
 1 0 0 52 38000 54 0 0 1 0 40 0 1 31
 0 0 1 52 12500 27 0 1 0 0 40 0 0 31
 1 0 0 52 26000 63 0 0 0 0 40 0 0 31
 0 1 0 52 100000 33 0 0 0 1 50 0 0 31
 0 1 0 52 30000 38 0 0 1 0 40 0 0 31
 1 1 0 52 35000 28 0 0 0 1 40 0 0 31
 1 0 1 52 20000 25 0 0 1 0 40 0 0 31
 1 0 0 52 28000 49 1 0 0 0 40 0 0 31
 0 1 0 52 140000 34 0 0 1 0 50 0 0 31
 1 1 0 52 29000 33 0 1 0 0 35 0 0 31
 0 1 0 52 57000 32 0 1 0 0 40 0 1 31
 1 1 0 52 27352 32 0 1 0 0 40 0 0 31
 0 0 0 52 60000 42 1 0 0 0 40 0 0 31
 0 0 1 52 33000 42 0 1 0 0 40 0 0 31
 0 1 0 52 92002 60 0 0 1 0 45 0 0 31
 1 1 0 52 70002 59 0 0 0 1 40 0 0 31
 0 0 1 52 23000 35 0 1 0 0 40 0 0 31
 0 1 0 52 50002 48 0 1 0 0 45 0 0 31
 1 1 0 52 60002 53 1 0 0 0 45 0 0 31
 0 1 0 52 65000 52 1 0 0 0 48 0 0 31
 1 0 1 52 34000 31 0 1 0 0 40 0 0 31
 1 0 0 52 30000 42 0 1 0 0 40 0 0 31
 0 1 0 52 80000 29 0 0 1 0 45 0 0 31
 1 0 1 52 43000 36 0 1 0 0 40 0 0 31
 0 0 1 52 100256 51 0 0 1 0 42 0 0 31
 0 1 0 52 40000 44 0 0 1 0 40 0 0 31
 1 1 0 52 63000 56 0 0 1 0 40 0 0 31
 1 0 1 52 50000 27 0 0 0 1 40 0 0 31
 1 0 1 52 50686 48 0 0 1 0 38 0 0 31
 0 0 1 52 27000 30 0 1 0 0 40 0 0 31
 1 0 1 52 27000 25 0 1 0 0 40 0 0 31
 0 0 0 52 45000 45 0 1 0 0 40 0 0 31
 1 0 0 52 46000 47 0 0 0 1 45 0 0 31
 1 1 0 52 40000 29 0 0 0 1 45 0 0 31
 0 1 0 52 45000 30 0 0 0 1 45 0 0 31
 1 1 0 52 175000 60 0 0 0 1 60 0 0 31
 0 1 0 52 30000 61 0 1 0 0 40 0 0 31
 1 1 0 50 30000 58 0 0 1 0 48 0 0 31
 0 0 1 52 48000 55 1 0 0 0 50 1 0 31
 0 0 1 52 40000 51 0 0 0 0 40 1 0 31
 0 1 0 52 50000 32 0 1 0 0 40 0 0 31
 1 1 0 52 30000 31 0 0 1 0 40 0 0 31
 1 0 0 52 30000 51 0 1 0 0 42 0 0 31
 1 0 1 52 40000 39 0 1 0 0 40 1 0 31
 1 0 1 52 40000 27 0 1 0 0 50 0 0 31
 0 0 1 52 31200 25 0 1 0 0 40 0 0 31
 0 0 1 52 42000 37 0 0 0 1 40 1 0 31
 1 0 1 52 55000 34 0 0 0 1 40 1 0 31
 1 1 0 52 80000 46 0 0 0 1 60 0 0 31
 1 1 0 52 57000 56 0 0 1 0 52 0 0 31
 0 1 0 52 60000 24 0 0 1 0 40 1 0 31
 1 1 0 52 30000 25 0 0 1 0 40 0 0 31
